Restaurant,Rating,Famous_for,Location,Cost,Distance
Cafe Skywalkers,4.0,"Fast Food, Wraps, Burger, Pizza, Pasta, Street Food, Beverages","Hinjawadi, Pune",₹600 for two,4.5 km
Wasabi 15,2.9,"Asian, Japanese, Korean, Chinese, Desserts, Beverages","Hinjawadi, Pune","₹1,500 for two",4.7 km
Noodle Plus,4.1,"Chinese, Asian, Indonesian, Korean","Aundh, Pune",₹600 for two,2.4 km
Why So Cheesy?,3.8,"Pizza, Sandwich, Fast Food","Wakad, Pune",₹400 for two,4.1 km
Hotel Shivprasad Veg - Nonveg,4.1,"North Indian, Chinese","Pashan, Pune",₹350 for two,3.6 km
Dinero Fine Dine,3.9,Modern Indian,"Pimpri, Pune","₹2,000 for two",3 km
La Basil,3.6,"Cafe, Coffee, Pizza, Italian, Fast Food, Desserts, Shake, Beverages","Baner, Pune","₹1,000 for two",685 m
La Pino'z Pizza,4.0,"Pizza, Pasta, Italian, Fast Food, Desserts","Balewadi, Pune",₹400 for two,1.4 km
Loco Otro,4.5,"Bar Food, Continental, Italian, Mexican, Salad, Seafood, Desserts, Beverages","Aundh, Pune","₹1,500 for two",3 km
Zaatar,4.1,"Middle Eastern, Shawarma, Lebanese, North Indian, Beverages","Pashan, Pune",₹600 for two,1.7 km
Saaki Resto Bar,4.4,"Maharashtrian, Bar Food, North Indian, Biryani, Chinese, Seafood, Kebab, Beverages","Wakad, Pune","₹1,600 for two",4.9 km
Desi Eats,3.9,"North Indian, Street Food","Wakad, Pune",₹400 for two,4.8 km
Best Belgian Waffle,3.8,"Waffle, Desserts, Beverages","Wakad, Pune",₹350 for two,4.9 km
Panch-Sattva,4.3,"South Indian, Beverages, Desserts","Balewadi, Pune","₹1,200 for two",2 km
Atithi Veg,3.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages","Baner, Pune","₹1,000 for two",1.2 km
Buon Cibo- The Italian Cafe,4.6,"Mexican, Italian, Continental, Pizza, Pasta","Baner, Pune",₹850 for two,929 m
The Urban Belly,3.6,"Sandwich, Pizza, Fast Food, Street Food, Coffee, Beverages","Wakad, Pune",₹250 for two,4.3 km
Around The Rice,3.5,"North Indian, Chinese, Rolls, Ice Cream, Beverages, Biryani, Seafood, Shake","Pimple Saudagar, Pune",₹350 for two,4.3 km
Govind Garden,3.1,"North Indian, Chinese, Seafood, Continental, Kebab, Biryani, Mughlai, Desserts","Pimple Saudagar, Pune","₹1,200 for two",4.7 km
Zillionth Bistro,4.1,Chinese,"Aundh, Pune",₹400 for two,3.1 km
Eatsome - Wraps & Rolls,3.4,"Wraps, Biryani, North Indian, Street Food","Aundh, Pune",₹400 for two,2.5 km
